graph_rel_two_step_path__graph_cond_gap_eq_1 | NOT_SERVED(no verified value pair)
graph_rel_two_step_path__graph_cond_left_div_right | L=11:clock R=4:cluster | Graph (square → ring) — There is a two-step arrow path from the square node to the ringed node? If yes: answer YES when left divisible by right. If no: the opposite. | YES
graph_rel_two_step_path__graph_cond_left_div_right | L=8:finger R=8:grid | Graph (square → ring): there is a two-step arrow path from the square node to the ringed node? If YES: answer YES when left divisible by right. If NO: the opposite. | YES
graph_rel_two_step_path__graph_cond_left_div_right | L=4:card R=1:grid | Graph (square → ring): there is a two-step arrow path from the square node to the ringed node? If YES: answer YES when left divisible by right. If NO: the opposite. | NO
graph_rel_two_step_path__graph_cond_left_div_right | L=9:roman R=6:ten | Graph (square → ring): there is a two-step arrow path from the square node to the ringed node? If YES: answer YES when left divisible by right. If NO: the opposite. | NO
graph_cond_match__graph_cond_one_prime | L=8:clock R=8:grid | Do the RIGHT square/ring marks correspond to the LEFT square/ring roles? If YES: answer YES when at least one value is prime. If NO: answer YES when no value is prime. | YES
graph_cond_match__graph_cond_one_prime | L=10:cluster R=5:cube | Do the RIGHT square/ring marks correspond to the LEFT square/ring roles? If YES: answer YES when at least one value is prime. If NO: answer YES when no value is prime. | YES
graph_cond_match__graph_cond_one_prime | L=1:abacus R=8:grid | Do the RIGHT square/ring marks correspond to the LEFT square/ring roles? If YES: answer YES when at least one value is prime. If NO: answer YES when no value is prime. | NO
graph_cond_match__graph_cond_one_prime | L=6:coins R=8:coins | Do the RIGHT square/ring marks correspond to the LEFT square/ring roles? If YES: answer YES when at least one value is prime. If NO: answer YES when no value is prime. | NO
graph_cond_match__graph_cond_sum_eq_10 | L=4:coins R=6:roman | Do the RIGHT square/ring marks correspond to the LEFT square/ring roles? If YES: answer YES when sum exactly 10. If NO: answer YES when sum not 10. | YES
graph_cond_match__graph_cond_sum_eq_10 | L=9:card R=3:cluster | Do the RIGHT square/ring marks correspond to the LEFT square/ring roles? If YES: answer YES when sum exactly 10. If NO: answer YES when sum not 10. | YES
graph_cond_match__graph_cond_sum_eq_10 | L=4:ten R=6:roman | Use structural correspondence as the gate. Valid right-hand match → sum exactly 10. Invalid match → sum not 10. Then answer the active numerical rule. | NO
graph_cond_match__graph_cond_sum_eq_10 | L=7:cluster R=9:clock | Use structural correspondence as the gate. Valid right-hand match → sum exactly 10. Invalid match → sum not 10. Then answer the active numerical rule. | NO
graph_cond_match__graph_cond_diff_gt_3 | L=9:grid R=3:dots | Do the RIGHT square/ring marks correspond to the LEFT square/ring roles? If YES: answer YES when gap greater than 3. If NO: answer YES when gap 3 or less. | YES
graph_cond_match__graph_cond_diff_gt_3 | L=10:tally R=2:finger | Do the RIGHT square/ring marks correspond to the LEFT square/ring roles? If YES: answer YES when gap greater than 3. If NO: answer YES when gap 3 or less. | YES
